Adresse;Code_Postal; Ville; Pays; Coord_GPS; Remarque
rue Bassetrée 5;4608;Warsage;Belgique;50.735538,5.76904;
rue Léopold 36;4820;Dison;Belgique;50.610318,5.851769;
rue du Pont 7;4480;Engis;Belgique;50.558932,5.362099;
rue de la Station 80;4130;Esneux;Belgique;50.52656,5.572223;
Avenue Montéfiore 26 A;4130;Esneux;Belgique;50.531706,5.564196;
Nöretherstrasse 53;4700;Eupen;Belgique;50.639366,6.025452;
Hillstrasse 7;4700;Eupen;Belgique;50.62136,6.040375;
Bergkapellstrasse 46;4700;Eupen;Belgique;50.624807,6.033622;
rue de Lognoul 6;4190;Ferrieres;Belgique;50.400703,5.607513;
rue François Lapierre 19;4620;Fleron;Belgique;50.616239,5.682309;
rue de Romsée 18;4620;Fleron;Belgique;50.613646,5.676228;
rue des Alliés 33;4460;Grace-Hollogne;Belgique;50.646232,5.504085;
rue Gilles Del Cour 10;4180;Hamoir;Belgique;50.426721,5.532256;
Route de Tirlemont 51;4280;Hannut;Belgique;50.674513,5.074268;
rue de Landen 43;4280;Hannut;Belgique;50.675963,5.082159;
rue de la Renaissance 11;4041;Milmort;Belgique;50.688283,5.593838;
Avenue de la Cité Wauters 35 B;4040;Herstal;Belgique;50.685215,5.641132;
rue Henri Nottet 11;4040;Herstal;Belgique;50.665596,5.610728;
rue du Long Thier 35;4500;Huy;Belgique;50.519757,5.24912;
rue des Augustins 18 B;4500;Huy;Belgique;50.520096,5.241673;
rue de la Fagne 46;4845;Jalhay;Belgique;50.558928,5.966864;
rue Cordémont 17;4450;Slins;Belgique;50.726558,5.562956;
rue du Tige 142 A;4450;Juprelle;Belgique;50.709107,5.531027;
rue du Patronage ;4720;La Calamine;Belgique;50.718736,6.013138;
Quartier du Vieux Moulin 1;4831;Limbourg;Belgique;50.622408,5.938324;
rue des Ecoles 1;4287;Lincent;Belgique;50.71485,5.033351;
Place Belle Maison 14;4570;Marchin;Belgique;50.480247,5.22551;
Place Georges Hubin 1-3-5;4577;Modave;Belgique;50.483026,5.297779;
4 rue du Presbytère;4550;Nandrin;Belgique;50.5302172, 5.4128863;
rue des Ecoles 4;4684;Haccourt;Belgique;50.735464,5.667359;
rue du Roi Albert 194;4680;Oupeye;Belgique;50.708935,5.644446;
rue Nids d'Aguesses 1;4860;Pepinster;Belgique;50.567196,5.806948;
rue César Franck 163;4851;Gemmenich;Belgique;50.743232,5.988722;
rue Nouvelle Percée 5;4350;Remicourt;Belgique;50.678461,5.320628;
rue Albert 1er 16;4470;Saint-Georges S/meuse;Belgique;50.601043,5.35473;
rue de l'Hôtel Communal 63;4420;Saint-Nicolas;Belgique;50.631784,5.539246;
Avenue des Puddleurs;4100;Seraing;Belgique;50.581566,5.48671;
rue de l'Enseignement 166;4102;Ougree;Belgique;50.599909,5.538714;
rue de l'Enseignement 166 ;4102;Ougree;Belgique;50.599909,5.538714;
Place Brossolette 2;4101;Jemeppe;Belgique;50.620071,5.486764;
Avenue du Gerbier 6;4100;Boncelles;Belgique;50.571206,5.536189;
rue de la Jeunesse 2;4100;Seraing;Belgique;50.588923,5.50457;
rue de l'Hôtel de Ville 44;4900;Spa;Belgique;50.493332,5.86687;
rue des 600 Franchimontois 1;4910;Theux;Belgique;50.531166,5.815661;
rue Courte du Pont 20;4800;Verviers;Belgique;50.591023,5.868168;
rue Henri Davignon 5;4800;Verviers;Belgique;50.580037,5.839346;
rue Lucien Defays 10;4800;Verviers;Belgique;50.591979,5.85441;
Place Maurice Grandgagnage 4;4530;Villers-Le-Bouillet;Belgique;50.613496,5.231509;
rue Charles Lejeune 4;4300;Waremme;Belgique;50.697216 ,5.256537;
rue du Baron d'Obin 219;4219;Wasseiges;Belgique;50.626098 ,4.996915;
50 rue Aristide Briand;27400;Acquigny;France;49.1725397, 1.1770114;Dans le magasin Vival Casino. 
50 rue Aristide Briand;27400;Acquigny;France;49.1725397, 1.1770114;Dans le magasin Vival Casino. 
75 rue du Général de Gaulle;59310;Landas;France;50.4741972, 3.3003783;Livres à croquer à l'initiative du Conseil Municipal des Jeunes.
6 place charles de gaulle;02320;PINON;France;49.4890282, 3.4466151;AU SIEGE DE LA MAISON INTERCOMMUNALE
6 place charles de gaulle;02320;PINON;France;49.4890282, 3.4466151;AU SIEGE DE LA MAISON INTERCOMMUNALE
10 rue des sables;17540;Angliers;France;46.2138571, -0.9540745;Dans le magasin Vival Casino.
Route de die;26470;La Motte Chalençon;France;44.4851491, 5.3859067;Dans le magasin Vival Casino
Route de die;26470;La Motte Chalençon;France;44.4851491, 5.3859067;Devant le magasin Vival Casino
Place de Charles de Gaulle;69970;Chaponnay;France;45.6642054, 4.8944789;
rue du 8 mai 1945;44650;Courcoue sur logne;France;46.966619, -1.576929;
rue saint medard ;72390;Dollon;France;48.037463, 0.5883469;
Rue Jean Moulin;07380;Jaujac;France;44.6371013, 4.2567994;
 Place Maréchal Leclerc;83260;La Crau;France;43.120453, 6.069956;
43 route nationale;89160;Lezinnes;France;47.8017873, 4.0908788;
bourg;71220;marizy;France;46.5662519, 4.4074977;Se situe au niveau du Bourg
20 rue des commerçants;86120;Roiffé;France;47.1247487, 0.0562952;
2 place de Verdun;42260;St Germain Laval;France;45.831329, 4.0124339;
1 rue des Tilleuls;37360;Semblançay;France;47.498439, 0.578855;
5 place de l’église;35350;St Coulomb ;France;48.6755369, -1.9114823;
80 Route Nationale 7;42470;St Symphorien de Lay  ;France;45.9475364, 4.2150379;
1718 place de l'église;19270;Ste Fereole;France;45.2284905, 1.5827606;
6 place maréchal de lattre tassigny;71320;Toulon sur Arroux;France;46.6926258, 4.1395728;
29 rue de la mairie;22660;Trévou Treguignec;France;48.8161126, -3.3584776;
82-84 grande rue;23160;Azerable;France;46.35414, 1.4674417;
2 avenue de la promenade;11200;Canet d’Aude;France;43.2300393, 2.8487644;
11 rue Jean Vadon;83440;Mons;France;43.6903066, 6.7137363;
1 rue de la meurthe;88230;Plainfaing;France;48.1727445, 7.0147646;
35 boulevard de cordouan;17200;Royan;France;45.6250557, -1.0408157;
99 rue de la mairie;19600;St Pantaleon de Larche;France;45.1407562, 1.4460323;
1662 route du vercors;38760;St Paul de Varce;France;45.0746507, 5.66028;
Place de la mairie;76430;Saint Vigor Ymonville;France;49.4952703, 0.3601306;
40 rue Anatole Gabeur;52210;Arc en barrois;France;47.948404, 5.0086551;Situé au cœur du village dans l'ancien Relais des Postes. En dessous de la Médiathèque.
332 Route de la Côte d'Amour;44600;Saint-Nazaire;France;47.256858, -2.2640509;La boite se situe en face du magasin Yves Rocher.
rue du parc;71350;St Loup Géanges;France;46.9593356, 4.9123017;Entre la rue du Parc et la rue du Clozeau, vers le petit puits, à l'ombre du verger.
91 route de pompey;54460;LIVERDUN;France;48.7554755, 6.0848041;Une boite a livre mis à disposition à tous qui se situe dans la propriété de la personne.
Rue des ponts ;54000;Nancy;France;48.687912, 6.1822293;Nouvelle boite à lire réalisée par le bureau d'architecture Studiolada, qui se situe devant une entrée du centre commerciale Saint-Jean. Très fournie en livres.
8 place Arnaud Bernard;31000;Toulouse;France;43.6110962, 1.438735;Devant Allo Bernard.
24 Rue du président wilson ;42000;Saint-Etienne;France;45.4400275, 4.3870043;Le principe est de laisser un livre pour en emprunter un !
rue camille jouis;44400;Rezé;France;47.1903852, -1.5701522;Construite par un particulier, dans une petite rue à côté de l église et de la mairie de Rezé, elle est installée sur le muret de sa maison. Pour ne pas la rater, elle est juste en face de l'école Saint-joseph.
2 Rue de la Biscuiterie;44000;Nantes;France;47.215513, -1.545617;Dans le jardin du LU c'est-à-dire le Lieu Unique
 Fort d'Issy, 90-98 Prom. du Verger;92130;Issy-les-moulineaux;France;48.8161877, 2.2671357;Malle à livres à l?entrée de l espace Le Temps des Cerises
280 Rue du Centre;62126;conteville les boulogne;France;50.7443302, 1.7331147;La boite est située juste à côté de la mairie. On peut trouver des livres, magazines.
28 avenue du Président Wilson;94230;Cachan;France;48.7935157, 2.3304407;Elle est sur la façade du Centre de documentation de l'ESTP Paris, au niveau de la porte d entrée, du grand chalet en haut du campus.
rue de la bourbre;38230;chavanoz;France;45.769871, 5.191719;La boite est devant le magasin Vival !
Place Olivier;31300;Toulouse;France;43.5983602, 1.4347397;Au coeur du quartier St Cyprien, cette boîte à lire installée par la mairie est située sur la place Olivier, au niveau du jardin d enfants, et a la forme d'un livre rouge.
Belle epine;94320;thiais;France;48.7566294, 2.3719927;A l'intérieur du Centre Commercial Belle Epine, près de l'accueil. 
grande rue;21160;Perrigny les dijon;France;47.2667947, 5.0048735;Petite boîte à livres située juste devant la boulangeri
9 Rue Richebourg;21220;Gevrey Chambertin;France;47.2259554, 4.9698172;Grande boîte à livres située juste devant le Vival dans le haut de Gevrey.
Espl. de la Liberté;72450;Champagné;France;48.022011, 0.329438;
Rue du monnet ;72190;St Pavace;France;48.0376002, 0.1912307;Armoire à livres.
Place Lafayette;47000;agen;France;44.2044, 0.620214;La boite à lire se situe à l'angle de la place. 
Route du Somport;64400;gurmençon;France;43.159614, -0.5986062;Située entre la mairie et l église , à l'arrêt de bus.
6 Place Curie;57280;Semécourt;France;49.1933914, 6.1328968;Boîte à lire devant l'école Jean Morette, Place Curie. Accessible à tous !
21 quai des Antilles;44200;Nantes;France;47.2008798, -1.5732543;En bord de Loire sur l ïle de Nantes.
Montée St Vincent;01140;MOGNENEINS;France;46.140073, 4.811282;La boite se situe 300 montée Saint Vincent, à Mogneneins, dans l'ancienne cabine téléphonique du village à côté de la bibliothèque
Place Sathonay;69001;Lyon;France;45.7691363, 4.8301485;
19 RUE DU FAUBOURG SENEGEAUD;86400;CIVRAY;France;46.1502642, 0.2935357;La boite à lire est placée contre un poteau électrique.
2 D53;40120;BELIS;France;44.0622865, -0.4613675;La cabine"; ancienne cabine téléphonique cédée par France Télécom à la commune de Belis. A proximité de l école primaire et de la mairie. Un banc tout à coté.
1 Avenue Puvis de Chavannes;92400;COURBEVOIE;France;48.8984424, 2.2329582;Dans le parc Nelson Mandela 92400 Courbevoie - angle rue des Etudiants et rue Saint Lo - sur le même format que celle de la place Charras.
rue adelaide;92400;COURBEVOIE;France;48.9014177, 2.2780073;Dans le Jardin Adélaïde 92400 Courbevoie - rue Adélaïde - sur le même format que celle de la place Charras.
Place Wilson;33400;Talence;France;44.798623, -0.591116;La boite à lire se trouve sur la place.....
3 rue du moulin;68190;Ensisheim;France;47.8653348, 7.3507532;Boîte à lire devant le salon de thé Thé O Café.
 Rue du Lavoir;84800;Saumane-de-Vaucluse;France;43.9357857, 5.1059185;Proposée par l'association Litera, cercle d'échange sur la lecture et la littérature.
place de bois luzy;13012;marseille;France;43.3108362, 5.42187;Bien située sur la place de bois Luzy à côté du bar. (Seul bémol j'ai vu des gens remplir leur cabas du contenu total de la boite à livres : amour profond de la lecture ou envie de se faire des sous en les revendant ???)
Allée de la plage;06270;villeneuve loubet;France;43.641157, 7.142733;C'est une boite à lire que l'on peut facilement rater, mais dans laquelle il y a toujours des livres. Elle se trouve au bout de l'allée de la Plage.
13 Rue du professeur Chrétien;29200;Brest;France;48.404214, -4.4694521;Bibliothèque participative installée à l'entrée du centre social.
rue Maréchal Foch;89200;Avallon;France;47.491219, 3.909248;La boîte est en métal et représente un livre ouvert, elle est située devant le cinéma Vauban. Les livres sont rangés sur les côtés, l'ouverture est un peu délicate, n'hésitez pas à tirer fort.
ruelle billard;25000;besançon;France;47.2431484, 6.0220689;Au croisement de la rue du Petit Battant. Boite vitrée.
5 Promenée Marat;94200;Ivry-sur-seine;France;48.8110835, 2.3848888;Une petite bibliothèque chez le fleuriste Arts et Fleurs dans le centre Jeanne Hachette, proposée par l'Association de voisins de la cité Marat "le Marat des Bois" !
Boulevard de la république ;711OO;CHALON SUR SAÔNE;France;46.783645, 4.849897;Dans le square Chabas.
rue jean jaurès;78711;MANTES LA VILLE;France;48.9825287, 1.7102792;Près de la pharmacie, du terrain de pétanques et en face de la petite poste.
rue de la motte;711OO ;CHALON SUR SAÔNE ;France;46.784155, 4.858441;Sur le parking, derrière la cathédrale St Vincent
Place de Fossat;31330;launac;France;43.759391, 1.139563;La boite à lire est à Galembrun
Place de la République ;31290;Avignonet Lauragais;France;43.366676, 1.784323;Square derriere la Mairie. La boite à lire se situe le long de la route qui remonte le foyer rural. 
106 rue d'ornano;33000;bordeaux;France;44.8343017, -0.5887366;A la descente du Tram, dans le jardin public.
1 rue des Bords-du-Doubs;71350;SAUNIERES;France;46.9037228, 5.0831313;Sous le auvent de la mairie.
Place de la gare;71100;CHALON-SUR-SAÔNE;France;46.778614, 4.845121;Dans la salle d attente de la gare
Parc naturel régional des Vosges du Nord;67340;Ingwiller;France;48.871557, 7.480032;Boite à lire au niveau de la gare, du côté quai.
rue de Bouxwiller;67330;neuwiller les saverne;France;48.8221097, 7.4092076;Boite à lire au niveau de l'arrêt de bus.
31 route de Latresne;33360;Carignan de Bordeaux;France;44.8102578, -0.4784686;Les ouvrages de la Ronde des Livres sont accessibles uniquement aux horaires d'ouverture de La Poste. Il y a un choix pour enfants, adultes, romans, albums et magazines, à prendre librement.
20 rue Sébastopol;59100;Roubaix;France;50.6893292, 3.1706553;A l'intérieur de la Coopérative Baraka, tous les livres sont voyageurs, à emporter selon les envies, sans restriction.
Place Jeanne d'Arc;85150;Sain julien des landes;France;46.640257, -1.712964;Boîte à lire mise en place par le Lions Club des Sables d'Olonne.
Boulevard des combattants;01600;Trevoux;France;45.9403014, 4.780558;Boîte à côté des chaises longues face à la salle des fêtes.
Rue du Rempart Ste Foy;47000;Agen;France;44.2073633, 0.6220664;La boite à lire se trouve sur la place. 
Place du Maréchal Foch;47000;Agen;France;44.206246, 0.61953;La boite à lire se trouve juste à coté du manège. 
Square Colbert;51100;Reims;France;49.2581329, 4.0257686;Dans le parc en face de la gare, du côté de la place d Erlon plutôt, une boîte à lire rouge! 
3 route de Montpellier;34790;Grabels;France;43.6470604, 3.8024505;Parking en face de la poste 
25 avenue de Châtenoy;89000;Auxerre;France;47.8144333, 3.5571518;
9 rue de Preuilly;89000;Auxerre;France;47.792253, 3.579674;Une bibliothèque mise à disposition dans l'entrée du magasin ATAC.
1 rue des Fontaines;87230;Champsac;France;45.700983, 0.9562543;Offert par le Lions Club Val de Tardoire à la commune de Champsac
Rue de la Richerie;86270;Lesigny ;France;46.847507, 0.76547;Inaugurée aujourd'hui. Elle est installée près d'un square avec jeux pour enfants Construite par le chantier d'insertion intercommunal et peinte par le secteur jeunes de la Roche Posay.
Place de l'hôtel de ville;86450;Pleumartin ;France;46.7369325, 0.7650225;Installée sur la place principale près de la Halle...
6 grande rue;91730;Torfou;France;48.5170356, 2.2594645;Ancienne cabine téléphonique, transformée en boîte à lire, juste devant la Mairie
Rue des Cosnardières ;91650;Saint-Yon;France;48.5581234, 2.1826953;Ancienne cabine téléphonique transformée en boîte à lire, près de la mairie.
rue de l'école;57560;Vasperviller;France;48.6317608, 7.0740759;La cabane à lire se situe en bas de la rue, dans l'ancien abribus...
place du château de la Rebmatt;67150;Erstein;France;48.4199655, 7.6675177;L'arbre à livres se situe devant la médiathèque intercommunale Denise Rack-Salomon.
le saillan vieux;19240;Allassac;France;45.2782849, 1.462275;Boite à lire offerte par les habitants du Saillant Vieux. En autogestion par les lecteurs.
12 Avenue de la Libération;47140 ;Penne-d'Agenais;France;44.393438, 0.8056463;La boite à lire se trouve dans une cabine téléphonique, sur le coté de la poste.
Rue du Palais;81000;ALBI;France;43.9268513, 2.1461883;Il s'agit d une ancienne cabine téléphonique transformée en « boîte à lire » par la ville d'Albi, en partenariat avec Orange.
63 rue des Pêcheurs ;77360;Vaires-sur-Marne;France;48.8689108, 2.6310686;Accessible aux heures d ouverture du Centre Socio Culturel, elle est l'initiative du Café des Lecteurs".
73 rue de la fontaine au roi;75011;Paris;France;48.8688037, 2.3757688;Boite installée par Le Bouquin qui bulle, bibliothèque associative du quartier de la fontaine au roi. 
Rue Pascal Marie Agasse;66000;PERPIGNAN;France;42.6942099, 2.8707617;Face à l'école d'Alembert !
rue des herbes;68127;NIEDERHERGHEIM;France;47.983607, 7.398383;Livres pour enfants et adultes
BOURG;50750;SAINTE SUZANNE sur VIRE;France;49.0561849, -1.1101203;Cabine téléphonique transformée joliment en cabine à livres... Plus de 270 livres actuellement.
87 avenue charles de gaulle;77450;esbly;France;48.9013488, 2.8128348;devant l'hôtel de ville
13 place de l eglise;77450;esbly;France;48.9011931, 2.8147656;Devant le centre de loisirs/espace de jeunesse.
place de la légion d'honneur;31000;toulouse;France;43.6046256, 1.444205;Pas très loin de la Médiathèque Cabanis, au milieu de la place, une boite à lire installée par la Mairie.
Jardin Unique quai Ferdinand Favre;44000;Nantes;France;47.2156654, -1.545345;Boite à lire située dans le Jardin Unique, un jardin d'habitants accompagnés par l'Association ECOS, en contre-bas du lieu unique.
28 rue du Capitaine Leuridan;77178;Saint-Pathus;France;49.0714871, 2.8044209;
1 rue de l ormoye;77178;Saint-Pathus;France;49.0713997, 2.7911309;La boite se trouve à l'angle de la Rue de l'ormoye et de la Rue Noëfort. 
Parc du Fort Louis;59210;Coudekerque-Branche;France;51.0075788, 2.3864414;Située près du parking à vélo à l'entrée principale.
24 rue Frédéric Legrand;87220;Feytiat;France;45.8109341, 1.3260038;A l'entrée du parc de la Mairie.
11 boulevard de la gare ;35150;Corps-Nuds;France;47.9791024, -1.5864095;Livres gratuits
place de la mairie;56670;riantec;France;47.7117411, -3.309714;En service depuis le mois de mai 2017
Rue Paul Wenz;51100;Reims;France;49.2913226, 4.0264814;Boite à lire pour adultes et enfants
67 rue Alsace Lorraine;40300;Peyrehorade;France;43.5445295, -1.1042092;Une jolie boîte à lire à Peyrehorade.
3 Rue du Four ;59295;PAILLENCOURT;France;50.2453399, 3.274621;Boite à lire et boite à don.
Gare RER Lieusaint Moissy;77127;Lieusaint;France;48.6283087, 2.5689793;En face de la gare, sortie côté Lieusaint, à côté de l'arrêt du Tzen.
rue de la Cour;44560;Corsept;France;47.276953, -2.061635;La boîte se situe au milieu du parking, entre la pharmacie et la boucherie.
68 Avenue du Général de Gaulle;94490;Ormesson-sur-Marne;France;48.7890522, 2.5362091;Mise en service le 11 Mai 2017
90 route nationale;85280;La Ferrière;France;46.7141332, -1.3137207;Mise en place le 13 Mai 2017 par l'association Bout dFicelle.
152 rue de l Eglise;62180;Rang-du-Fliers;France;50.4196839, 1.6371872;Elle se trouve à côté de la mairie. La boite à lire est une cabine téléphonique londonienne.
Parc du village;76130;Mont Saint Aignan;France;49.4710581, 1.0877293;Située juste à la 1 ère entrée du parc du Village à Mont Saint Aignan.
33 rue des Victimes de Comportet;02000;Merlieux-et-Fouquerolles;France;49.5207498, 3.5048163;Accessible à tous du Mardi au vendredi de 10h à 12h30 et de 14h à 17h30 ainsi que le samedi matin de 9h30 à 12h30. On vous attend, venez !
10 Avenue Aspirant Buffet;81000;Gaillac;France;43.9037586, 1.9031108;4 boites à livres sur des tiges métalliques, entre des livres en apesanteur, entourées d'un joli jardin, face à la MJC!
Parc Favols;33560;Carbon-Blanc;France;44.8964876, -0.5042254;
Rue des Futaies;33564;Carbon-Blanc;France;44.9097325, -0.4988879; La boite à lire est située sur la Plaine des sports du Faisan.
Rue Jean Rostand;33560;Carbon-Blanc;France;44.8931182, -0.5110933;Située au niveau de l'école maternelle.
25 avenue des frères lumières;69008;Lyon;France;45.7460048, 4.8634529;Boite à dons dans l'enceinte de la MJC monplaisir, accessible du lundi au samedi ...
Place aux jeunes;34980;Combaillaux;France;43.6717938, 3.7727618;La boite à lire est dans la salle des fêtes et se situe en haut de l'amphithéatre. 
Rue du Général Binot;58200;COSNE-COURS-SUR-LOIRE;France;47.388958, 2.9247546;Projet LECTURE Boîtes cofinancées par le Lions Club Cosne Puisaye et la Ville de Cosne-Cours-sur-Loire Dans le cadre du volet culturel du contrat de Ville.
Boulevard Elémir Bourge;04100;Manosque;France;43.8320165, 5.7817497;Cette boite à live est à gauche de l'entrée du centre Jean Giono, sur le coté droit de la Fondation Carzou.
Place du château ;29260;Lesneven;France;48.5720988, -4.3218277;Dans une ancienne cabine téléphonique anglaise rouge. Adossée à la mairie de Lesneven.
place du muguet nantais;44200;Nantes;France;47.1943206, -1.5289512;Devant la Maison des confluences, arbre à livres inauguré le 18 mai 2017.
place de la mairie;02320;Vauxaillon;France;49.513419, 3.482238;Sous une halle ouverte à toute heure sur la place face à la mairie
35 rue Léo LAGRANGE;80000;Amiens;France;49.9109012, 2.3119545;Devant l'entrée de la piscine le nautilus
 45, Chaussée Jules Ferry ;80000;Amiens;France;49.8842368, 2.3237698; ancienne cabine téléphonique anglaise réhabilitée en Boîte à lire 
Place Gambetta;80000;Amiens;France;49.893243, 2.297608;La boîte à lire place Gambetta est introuvable , a été retirée comme d?autres boites , sans prévenir !!! 
  Place du Maréchal Joffre;80000;Amiens;France;49.8879532, 2.3034379;Boîte à lire installée dans le petit parc de la Place du maréchal Joffre
173 Rue Wulfran Warmé;80000;Amiens;France;49.8836404, 2.3073546; au milieu du parc Jean Rostand près de l’aire de jeux 
Avenue de Bourgogne:;80000;Amiens;France;49.9150685, 2.2521289;merci d’ajouter la photo « Boîte à lire »)-          Les Coursives Etouvie - Avenue de Bourgogne: Une nouvelle boîte à lire installée par Amiens Métropole devant le Diapason Ecole de musique d'Etouvie
 1 Rue de l'Église,;80480;Pont-de-metz;France;49.8816465, 2.2433604;
Rue Jean Catelas;80480;Saleux;France;49.8607459, 2.3396362;Site Multiactivité
 Rue des Verts Cerisiers;80680;Sains-en-Amiénois;France;49.817405, 2.3177964;Boîte à lire installée par un habitant du village devant son habitation
5 Placé François albert;86190;Vouillé;France;46.6391522, 0.165207;À côté du fleuriste.
 ;63113;Picherande ;France;45.4627895, 2.7961277;Sur le parking de l'église.
3 Rue du 7E Chasseur;27000;Évreux;France;49.0280475, 1.1453545;Boîte installée devant le cinéma et à côté du McDo.
Place du 19 mars 1962;87510;Nieul;France;45.925896, 1.172474;Située à côté de l'air de jeux pour enfants.
Place Carnot;59500;Douai;France;50.3714487, 3.0865894;Ancienne cabine téléphonique peinte en multicolore.
300 rue Émile d'Herbometz;59870;Tilloy-Lez-Marchiennes ;France;50.4268798, 3.3191521;Juste devant la mairie.
19 rue du temple ;35150;Piré-sur-Seiche;France;48.0090922, -1.4292274;La boite à lire se trouve en face du bar Le Temps qu il faut.
Brg de Lissay;18340;LISSAY-LOCHY;France;46.971047, 2.407871;Boite à coté de l'arrêt de bus.
8 Avenue des Peupliers;35510;Cesson-Sévigné;France;48.1132017, -1.6069621;Sur le parking de la biocoop de cesson-sévigné.
Rue robespierre;33400;Talence;France;44.8082086, -0.5793603;La boite se trouve pas loin de l'entrée du parc.
269 Cours Gambetta;33400;Talence;France;44.8128281, -0.5907453;La boite à l'entrée du parc Pineau qui fait face au rond point.
 ;23110;Fontanières;France;46.106111, 2.4996999;Dans une cabine téléphonique près de la grande place et des containers de vêtements. Il y a même une petite ardoise pour les demandes de livres en particulier.
Place du champ de mars;16000;ANGOULÊME;France;45.6490269, 0.161603;A l'entrée de la place direction rue Hergé.
Place Carnot;59500;Douai;France;50.3714487, 3.0865894;Ancienne cabine téléphonique aménagée et peinte en multicolore, face au laboratoire.
Rue de l'Eglise;56780;ILE AUX MOINES;France;47.598757, -2.842872;A environ 200 mètres de l'église St Michel.
Route du bucher;41700;cheverny;France;47.495215, 1.468095;cabine téléphonique transformée en magnifique boite à lire réalisée par la commune de Cheverny en partenariat avec le conseil des sages et une artiste
 ;26130;CLANSAYES;France;44.371308, 4.807614;Au bas de l escalier qui mène à la salle des fêtes.
10 Avenue Foch;92250;La Garenne-Colombes;France;48.9108654, 2.2531645;Dans le parc Wangen im Allgäu
15 Rue du Berry;58200;Cosne-sur-loire;France;47.3979479, 2.9278254;Devant le centre social
 ;80500;PIENNES-ONVILLERS;France;49.62695, 2.64132;Fabriquée par G. LEROY, Compagnon et offerte gracieusement à la commune.
2 Rue Marc Sangnier;91330;Yerres;France;48.7147616, 2.4896534;Dans le CEC de Yerres.
 ;44140;Montbert;France;47.057771, -1.487902;La cabane à livres sous un grand chêne et près d un banc ! Projet initié par la bibliothèque municipale en associant les services techniques pour la mise à disposition de l'armoire et son installation et les ados du Spot, espaces jeunes pour le relooking et la déco.
Place des arceaux;64240;La Bastide Clairence;France;43.4295461, -1.2560875;Boite à lire Semez les mots à l'initiative de notre bibliothèque. Boite sans angles droits donc assez déjantée.
Avenue du Parc des Sports;17640;Vaux-sur-Mer;France;45.642946, -1.0671949;Dans le parc des Sports, à côté de l'aire de jeux pour les enfants.
 ;66700;Saint Nazaire;France;42.668676, 2.991185;Dans le parc bicentenaire. Mise en place ce jour 1/06 par l association l'oyat Nazairien, fabriquée , décorée et documentée par M Alain Sicre. Nous espérons un bon fonctionnement.
place sauvegrain;31100;toulouse;France;43.5896412, 1.3781731;Devant le jardin public.
Rue de Condé;16200;JARNAC;France;45.6799484, -0.1733419;Sur la place du château du côté Courvoisier.
Avenue du Maréchal Joffre;94120;Fontenay-sous-Bois;France;48.8528147, 2.4775336;En plein milieu de centre commercial ...
 21 avenue Emile Fruchart;91210;DRAVEIL;France;48.6851404, 2.3912469;Installée le 4 juin 2017.
Chemin du Pont Midou;58200;Cosne-Cours-sur-Loire;France;47.427871, 2.935199;Projet lecture, boîte cofinancée par le Lions club Cosne Puisaye et la ville de Cosne-Cours-sur-Loire dans le cadre du volet culturel du contrat de ville.
65 Rue des Dunes;14150;Ouistreham;France;49.2856765, -0.2501697;Sur la piste cyclable jusqu à la plage, il y a un blanc boite à lire
Place de la Résistance;58200;Cosne-Cours-sur-Loire;France;47.410358, 2.923493;Projet lecture boîtes cofinancées par le lions club Cosne Puisaye et la ville de Cosne-Cours-sur-Loire dans le cadre du volet culturel du contrat de ville.
3 Rue Georges Pompidou;33400;Talence;France;44.8031711, -0.5784626;Boite à lire au milieu du Parc Bel Air.
15 Rue Etienne Dolet;33400;Talence;France;44.8148891, -0.6090918;Boite à lire à l'entrée du Square Haut-Brion.
Place Bernard cadenat;13003;Marseille;France;43.311877, 5.387116;La boite se situe en face de l'école.
Place de la mairie;24530;Villars;France;45.3937272, 0.6988797;Boite à lire réalisée par les enfants de l'école de Villars et Repaircafe24 de Condat sur Trincou.
rue des Préfoix;77210;Samoreau;France;48.424764, 2.759181;
2 rue du stade ;68210;TRAUBACH LE BAS;France;47.6590877, 7.0960085;La boite l'île de Cécile" a été installée le 13 mai 2017 à l'occasion de la première journée citoyenne à Traubach le BAs.
rue de la fontaine;49140;FONTAINE-MILON;France;47.5015255, -0.2458515;Dans une ancienne armoire froide, près de l aire de jeux.
rue du lavoir;49150; le Guédeniau;France;47.4930732, -0.0447466;Près du lavoir,jardin public
24 avenue de St Jean d'angély ;17770;St hilaire de villefranche;France;45.8521637, -0.5285301;Bien visible sur la grande place près de la mairie.
7 Avenue Amédée Tarrade;87130;Châteauneuf-la-forêt;France;45.7130785, 1.6055546;A l'entrée du parc.
Place de la liberté;87300;Saint-Junien-les-Combes;France;46.0861804, 1.1234144;Dans le square du général Navelet, proche de la mairie.
Rue De La République;57970;Yutz;France;49.353888, 6.196676;Située à l entrée du parc en face du petit parking
pont de Montjean;49570;Montjean-sur-Loire;France;47.3868099, -0.8630675;Elle se trouve au pont de Montjean...
4 rue Haute;39570;39570;France;46.6545216, 5.5993857;Dans une cabine téléphonique. Sur la place à côté d un parking, de la mairie, de la poste et de l'église.
place du marché;78870;BAILLY;France;48.842287, 2.072132;2 Boîtes à livres sur Bailly.
Mairie;78870;Bailly;France;48.8391009, 2.0793786;Partagez, échangez, lisez...
1 Place de l'église;23320;Saint-Vaury;France;46.2043549, 1.754763;Dans le parc à côté de la mairie.
